,Model,# of CPU Cores,# of Threads,Graphics Core Count,Base Clock(GHz),Max. Boost Clock (GHz),All Core Boost Speed (GHz),L1 Cache (KB),L2 Cache(MB),L3 Cache(MB),1kU Pricing(USD),PCI Express® Version,Default TDP(W),Max. Operating Temperature (Tjmax(°C)),System Memory Specification(MHz),Memory Channels,Memory Channels,Graphics Frequency(MHz),GPU Base(MHz)
on,AMD Ryzen™ 3 3200GE (OEM Only),4,4,8,3.3,3.8,0,384,2,4,,3,35,95,2933,2,,1200,
on,AMD Athlon™ Gold 7220U,2,4,2,2.4,3.7,0,256,1,4,,3,15,,,2,,1900,
on,AMD Athlon™ 320GE,2,4,3,3.5,0,0,192,1,4,,3,35,95,2667,2,,1100,
on,AMD Athlon™ 300GE,2,4,3,3.4,0,0,192,1,4,,3,35,95,2667,2,,1100,
on,AMD Ryzen™ 7 3750H,4,8,10,2.3,4,0,384,2,4,,3,35,105,2400,2,,1400,
on,AMD Ryzen™ 5 3550H,4,8,8,2.1,3.7,0,384,2,4,,3,35,105,2400,2,,1200,
on,AMD Athlon™ Silver 7120U,2,2,2,2.4,3.5,0,256,1,2,,3,15,,,2,,1900,
on,AMD Ryzen™ 7 3700U,4,8,10,2.3,4,0,384,2,4,,3,15,105,2400,2,,1400,
on,AMD Ryzen™ 3 3350U,4,4,6,2.1,3.5,0,348,2,4,,3,15,105,2400,2,,1200,
on,AMD Ryzen™ 5 3500U,4,8,8,2.1,3.7,0,384,2,4,,3,15,105,2400,2,,1200,
on,AMD Ryzen™ 7 3700C,4,8,10,2.3,4,0,384,2,4,,,15,105,,,,1400,
on,AMD Ryzen™ 5 3450U,4,8,0,2.1,3.5,0,384,2,4,,3,15,105,2400,2,,1200,
on,AMD Ryzen™ 3 3300U,4,4,6,2.1,3.5,0,384,2,4,,3,15,105,2400,2,,1200,
on,AMD Ryzen™ 5 3580U Microsoft Surface® Edition,4,8,9,2.1,3.7,0,384,2,4,,3,15,105,2400,2,,1300,
on,AMD Ryzen™ 5 3500C,4,8,8,2.1,3.7,0,384,2,4,,,15,105,,,,1200,
on,AMD Ryzen™ 3 3200U,2,4,3,2.6,3.5,0,192,1,4,,3,15,105,2400,2,,1200,
on,AMD Athlon™ 300U,2,4,3,2.4,3.3,0,193,1,4,,,15,105,2400,2,,1000,
on,AMD Athlon™ Gold 3150U,2,4,3,2.4,3.3,0,192,1,4,,,15,95,2400,2,,1000,
on,AMD Ryzen™ 3 3250C,2,4,3,2.6,3.5,0,192,1,4,,,15,105,,,,1200,
